experiment,target,r2,mse,formula,latency
1. Autoregressive Recurrence,B1 (Unsolved Location),0.15614895728433542,107543.22734228698,192.056080000000,1.4027672059601173
1. Autoregressive Recurrence,B2 (Solved Declaration),0.04133128007632414,38236.33254041359,136.403970000000,7.552018854068592
1. Autoregressive Recurrence,B3 (Unsolved Names),0.41178998647196186,17197.6279334957,0.94329*X1*X4*cos((-X1*X2/X3 + X2 + X3)/(X1 - X3)) + 90.79978,1.3278130380203947
2. Step Drift Dynamics,B1 (Unsolved Location),0.40116891366671703,113996.55702306028,0.06238*X2*X4 + 0.03119*X2 - 0.06238*(X1 + X3)*log(X3*(-2*X2*X4 + X3 - X4)/X4) + 195.83139,1.1725183599628508
2. Step Drift Dynamics,B2 (Solved Declaration),0.4953334957489093,38486.68058858952,(X1*(-0.03513*X3 + 0.03513*X4 + 112.84284) + 0.03513*sqrt((X2 - X3*(X1 + X3))/X3)*(-X1*(X1 + X3) + X2))/X1,1.2820550870383158
2. Step Drift Dynamics,B3 (Unsolved Names),0.26946166735221044,17081.591755121903,-0.04471*sqrt((X1 + X3)*(X4 - 1)*sin(X3/X2)*sqrt(sin(X1 - X4)))*(X1 + X3) + 44.07793,1.3052801600424573
3. Cross-Cipher Coupling,B1 from B2 (Location from DOI Cipher),0.05087744044807385,120449.95548287466,261.062820000000,1.1707006980432197
3. Cross-Cipher Coupling,B3 from B2 (Names from DOI Cipher),0.08955778725310803,26563.979279115785,132.17042*X2**2 + 132.17042*sin(log(exp(2*X1/X2) + 2)) + 136.0048,6.799680976080708
3. Cross-Cipher Coupling,B3 from B1 (Names from Location Cipher),0.1022447320443487,18333.917112145908,5.3857*log((X2 - 1)*cos(2*X1*(X1 - X2)))**2 + 109.90818,1.4160727970302105
4. Modulo 26 Residue,B1 (Unsolved Location),0.0208725819932144,48.03481825809368,12.00425*cos(pi**2*X1**2/X2**2)**(1/8) + 0.94335,1.03653485304676
4. Modulo 26 Residue,B2 (Solved Declaration),0.008737835529875837,51.27108603163866,0.002645*X1 - 0.00529*X1/X2 + 10.58105,0.9299527260009199
4. Modulo 26 Residue,B3 (Unsolved Names),0.017633313905628056,51.14500145662142,1.20192*sin(sqrt(2)*sqrt(X2*cos(X1 - 1))/2) - 1.20192*cos(X1 - 1) + 11.80547,1.544092472991906
